source,activity,timestamp,status,resource
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton11,hidden,2021-06-10T04:35:06,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton12,check-in,2021-06-10T04:35:06,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton12,hidden,2021-06-16T04:20:44,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton13,check-in,2021-06-16T04:20:44,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-und-kanton-1969-2020,check-in,2021-06-23T04:19:19,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton14,check-in,2021-06-23T04:19:19,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton13,hidden,2021-06-24T04:13:51,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton15,check-in,2021-07-02T04:21:03,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton16,check-in,2021-07-07T04:21:24,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton15,hidden,2021-07-08T04:20:33,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton16,hidden,2021-07-15T04:21:00,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton17,check-in,2021-07-15T04:21:00,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton18,check-in,2021-07-21T04:20:59,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton17,hidden,2021-07-22T04:22:52,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton19,check-in,2021-07-28T04:20:57,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton18,hidden,2021-07-29T04:21:16,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton20,check-in,2021-08-04T04:21:01,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton19,hidden,2021-08-05T04:21:30,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton21,check-in,2021-08-11T04:20:55,complete,BfS
