TIME_PERIOD;GEO;AGE;SEX;Obs_status;Obs_value
2020-W43;CH070;_T;T;P;  71
2020-W44;CH;_T;T;P;1477
2020-W44;CH011;_T;T;P;  89
2020-W44;CH021;_T;T;P; 210
2020-W44;CH040;_T;T;P; 201
2020-W44;CH070;_T;T;P;  73
2020-W45;CH;_T;T;P;1751
2020-W45;CH011;_T;T;P;  62
2020-W45;CH021;_T;T;P; 242
2020-W45;CH040;_T;T;P; 246
2020-W45;CH070;_T;T;P;  93
2020-W46;CH;_T;T;P;1935
2020-W46;CH011;_T;T;P; 132
2020-W46;CH021;_T;T;P; 262
2020-W46;CH040;_T;T;P; 258
2020-W46;CH070;_T;T;P;  96
2020-W47;CH;_T;T;P;1802
2020-W47;CH011;_T;T;P;  34
2020-W47;CH021;_T;T;P; 257
2020-W47;CH040;_T;T;P; 258
2020-W47;CH070;_T;T;P; 120
2020-W48;CH;_T;T;P;1732
2020-W48;CH011;_T;T;P;  12
2020-W48;CH021;_T;T;P; 244
2020-W48;CH040;_T;T;P; 256
2020-W48;CH070;_T;T;P; 111
2020-W49;CH;_T;T;P;1838
2020-W49;CH011;_T;T;P;  11
2020-W49;CH021;_T;T;P; 263
2020-W49;CH040;_T;T;P; 288
2020-W49;CH070;_T;T;P; 120
2020-W50;CH;_T;T;P;1878
2020-W50;CH011;_T;T;P;  25
2020-W50;CH021;_T;T;P; 276
2020-W50;CH040;_T;T;P; 371
2020-W50;CH070;_T;T;P; 113
2020-W51;CH;_T;T;P;1826
2020-W51;CH011;_T;T;P;  11
2020-W51;CH021;_T;T;P; 296
2020-W51;CH040;_T;T;P; 335
2020-W51;CH070;_T;T;P; 114
