2020-06-16T12:22:40Z;I;..CSV in ../data/new_todesfaelle_woche.csv geschrieben !
2020-06-16T12:22:40Z;I;<Last_pull> badge created
2020-06-16T12:22:40Z;I;END Download
2020-06-16T12:22:40Z;I;START Validierung
2020-06-16T12:22:41Z;I;todesfaelle_woche.csv gelesen 14959 Zeilen und 9 Spalten
2020-06-16T12:22:41Z;I;new_todesfaelle_woche.csv gelesen 14959 Zeilen und 9 Spalten
2020-06-16T12:22:41Z;E;Daten identisch
2020-06-16T12:22:41Z;I;END Validierung
2020-06-16T12:42:28Z;I;START Download
2020-06-16T12:42:30Z;I;Rest API lesen ...
2020-06-16T12:42:31Z;I;. Deaths per week by 5-year age group, sex and canton (CSV file) vom 2020-06-10T09:52:16.283821
2020-06-16T12:42:31Z;I;..API in ../data/api.csv geschrieben !
2020-06-16T12:42:31Z;I;URL download lesen ...
2020-06-16T12:42:31Z;W;..../data/new_todesfaelle_woche.csv wird überschrieben !
2020-06-16T12:42:33Z;I;..CSV in ../data/new_todesfaelle_woche.csv geschrieben !
2020-06-16T12:42:33Z;I;<Last_pull> badge created
2020-06-16T12:42:33Z;I;END Download
2020-06-16T12:42:33Z;I;START Validierung
2020-06-16T12:42:33Z;I;todesfaelle_woche.csv gelesen 14959 Zeilen und 9 Spalten
2020-06-16T12:42:33Z;I;new_todesfaelle_woche.csv gelesen 14959 Zeilen und 9 Spalten
2020-06-16T12:42:33Z;E;Daten identisch
2020-06-16T12:42:33Z;I;END Validierung
2020-06-17T03:17:41Z;I;START Download
2020-06-17T03:17:43Z;I;Rest API lesen ...
2020-06-17T03:17:44Z;I;. Deaths per week by 5-year age group, sex and canton (CSV file) vom 2020-06-10T09:52:16.283821
2020-06-17T03:17:44Z;I;..API in ../data/api.csv geschrieben !
2020-06-17T03:17:44Z;I;URL download lesen ...
2020-06-17T03:17:44Z;W;..../data/new_todesfaelle_woche.csv wird überschrieben !
2020-06-17T03:17:46Z;I;..CSV in ../data/new_todesfaelle_woche.csv geschrieben !
2020-06-17T03:17:46Z;I;<Last_pull> badge created
2020-06-17T03:17:46Z;I;END Download
2020-06-17T03:17:46Z;I;START Validierung
2020-06-17T03:17:46Z;I;todesfaelle_woche.csv gelesen 14959 Zeilen und 9 Spalten
2020-06-17T03:17:46Z;I;new_todesfaelle_woche.csv gelesen 14959 Zeilen und 9 Spalten
2020-06-17T03:17:46Z;E;Daten identisch
2020-06-17T03:17:46Z;I;END Validierung
2020-06-18T03:17:30Z;I;START Download
2020-06-18T03:17:31Z;I;Rest API lesen ...
